Using Device: mps and False
Training and Testing Data Loaded!
Epoch 1
-----------------------
loss: 0.333354  [41500/60000]
loss: 0.019801  [41600/60000]
loss: 0.916068  [41700/60000]
loss: 0.007816  [41800/60000]
loss: 1.083052  [41900/60000]
loss: 0.006682  [42000/60000]
loss: 0.040004  [42100/60000]
loss: 0.073930  [42200/60000]
loss: 0.000898  [42300/60000]
loss: 0.298888  [42400/60000]
loss: 0.019819  [42500/60000]
loss: 0.031762  [42600/60000]
loss: 0.005406  [42700/60000]
loss: 0.064094  [42800/60000]
loss: 0.023304  [42900/60000]
loss: 0.662601  [43000/60000]
loss: 0.207088  [43100/60000]
loss: 0.871487  [43200/60000]
loss: 0.025971  [43300/60000]
loss: 0.144061  [43400/60000]
loss: 0.042881  [43500/60000]
loss: 0.277680  [43600/60000]
loss: 0.128475  [43700/60000]
loss: 0.095354  [43800/60000]
loss: 0.564754  [43900/60000]
loss: 0.012036  [44000/60000]
loss: 1.194275  [44100/60000]
loss: 0.209248  [44200/60000]
loss: 1.189229  [44300/60000]
loss: 0.010441  [44400/60000]
loss: 0.213651  [44500/60000]
loss: 0.086308  [44600/60000]
loss: 0.001395  [44700/60000]
loss: 0.344534  [44800/60000]
loss: 0.002259  [44900/60000]
loss: 0.103529  [45000/60000]
loss: 0.033763  [45100/60000]
loss: 0.001938  [45200/60000]
loss: 0.255685  [45300/60000]
loss: 0.011943  [45400/60000]
loss: 0.290003  [45500/60000]
loss: 0.117515  [45600/60000]
loss: 0.252364  [45700/60000]
loss: 3.873681  [45800/60000]
loss: 0.042394  [45900/60000]
loss: 0.173863  [46000/60000]
loss: 0.205136  [46100/60000]
loss: 0.590044  [46200/60000]
loss: 4.501317  [46300/60000]
loss: 0.053150  [46400/60000]
loss: 0.002825  [46500/60000]
loss: 0.245107  [46600/60000]
loss: 0.095276  [46700/60000]
loss: 0.104869  [46800/60000]
loss: 0.004475  [46900/60000]
loss: 0.008684  [47000/60000]
loss: 0.674050  [47100/60000]
loss: 0.041099  [47200/60000]
loss: 0.283010  [47300/60000]
loss: 0.025773  [47400/60000]
loss: 0.015983  [47500/60000]
loss: 2.950334  [47600/60000]
loss: 0.003001  [47700/60000]
loss: 0.001481  [47800/60000]
loss: 0.000428  [47900/60000]
loss: 0.045587  [48000/60000]
loss: 0.000911  [48100/60000]
loss: 0.236303  [48200/60000]
loss: 0.033202  [48300/60000]
loss: 0.025995  [48400/60000]
loss: 0.139518  [48500/60000]
loss: 0.004895  [48600/60000]
loss: 0.150643  [48700/60000]
loss: 1.593177  [48800/60000]
loss: 0.241710  [48900/60000]
loss: 0.007523  [49000/60000]
loss: 0.066842  [49100/60000]
loss: 0.656952  [49200/60000]
loss: 4.295517  [49300/60000]
loss: 0.229238  [49400/60000]
loss: 1.052564  [49500/60000]
loss: 0.014860  [49600/60000]
loss: 0.214838  [49700/60000]
loss: 0.078797  [49800/60000]
loss: 0.039064  [49900/60000]
loss: 0.079284  [50000/60000]
loss: 0.005863  [50100/60000]
loss: 0.001230  [50200/60000]
loss: 0.021230  [50300/60000]
loss: 0.026259  [50400/60000]
loss: 0.034771  [50500/60000]
loss: 0.001982  [50600/60000]
loss: 0.342126  [50700/60000]
loss: 0.037903  [50800/60000]
loss: 0.018555  [50900/60000]
loss: 0.011304  [51000/60000]
loss: 0.172782  [51100/60000]
loss: 1.975553  [51200/60000]
loss: 2.875181  [51300/60000]
loss: 0.049329  [51400/60000]
loss: 0.011758  [51500/60000]
loss: 3.388384  [51600/60000]
loss: 0.013186  [51700/60000]
loss: 0.019027  [51800/60000]
loss: 0.022172  [51900/60000]
loss: 0.102160  [52000/60000]
loss: 0.846599  [52100/60000]
loss: 0.080191  [52200/60000]
loss: 0.002059  [52300/60000]
loss: 0.046406  [52400/60000]
loss: 0.058705  [52500/60000]
loss: 0.345856  [52600/60000]
loss: 0.021357  [52700/60000]
loss: 3.373989  [52800/60000]
loss: 0.126273  [52900/60000]
loss: 0.004615  [53000/60000]
loss: 0.005456  [53100/60000]
loss: 0.021551  [53200/60000]
loss: 0.276872  [53300/60000]
loss: 0.000632  [53400/60000]
loss: 0.123259  [53500/60000]
loss: 0.160211  [53600/60000]
loss: 0.062340  [53700/60000]
loss: 0.029476  [53800/60000]
loss: 0.347521  [53900/60000]
loss: 0.806725  [54000/60000]
loss: 0.063111  [54100/60000]
loss: 0.098573  [54200/60000]
loss: 0.073979  [54300/60000]
loss: 0.267124  [54400/60000]
loss: 0.007024  [54500/60000]
loss: 0.242966  [54600/60000]
loss: 0.004378  [54700/60000]
loss: 0.003570  [54800/60000]
loss: 0.008068  [54900/60000]
loss: 0.029696  [55000/60000]
loss: 0.006817  [55100/60000]
loss: 0.023528  [55200/60000]
loss: 0.001456  [55300/60000]
loss: 0.622391  [55400/60000]
loss: 0.047961  [55500/60000]
loss: 0.059276  [55600/60000]
loss: 0.003090  [55700/60000]
loss: 0.051446  [55800/60000]
loss: 0.011373  [55900/60000]
loss: 0.019487  [56000/60000]
loss: 0.000503  [56100/60000]
loss: 0.015783  [56200/60000]
loss: 2.024223  [56300/60000]
loss: 0.027506  [56400/60000]
loss: 0.011890  [56500/60000]
loss: 1.929496  [56600/60000]
loss: 0.012718  [56700/60000]
loss: 3.082417  [56800/60000]
loss: 0.014834  [56900/60000]
loss: 0.000155  [57000/60000]
loss: 0.072029  [57100/60000]
loss: 0.034840  [57200/60000]
loss: 0.016471  [57300/60000]
loss: 0.193376  [57400/60000]
loss: 0.000676  [57500/60000]
loss: 0.002687  [57600/60000]
loss: 0.017984  [57700/60000]
loss: 0.022547  [57800/60000]
loss: 0.137472  [57900/60000]
loss: 0.084058  [58000/60000]
loss: 0.534437  [58100/60000]
loss: 0.001474  [58200/60000]
loss: 0.010914  [58300/60000]
loss: 0.017726  [58400/60000]
loss: 0.006804  [58500/60000]
loss: 0.013515  [58600/60000]
loss: 0.022035  [58700/60000]
loss: 0.038845  [58800/60000]
loss: 0.397903  [58900/60000]
loss: 0.015610  [59000/60000]
loss: 0.003161  [59100/60000]
loss: 0.014687  [59200/60000]
loss: 0.004559  [59300/60000]
loss: 1.956056  [59400/60000]
loss: 0.011228  [59500/60000]
loss: 0.024570  [59600/60000]
loss: 0.001669  [59700/60000]
loss: 0.014449  [59800/60000]
loss: 0.021138  [59900/60000]
Testing Accuracy tensor([0.9177]) failed 0.2723825173393775
Epoch 2
-----------------------
loss: 0.251805  [    0/60000]
loss: 0.422752  [  100/60000]
loss: 0.003422  [  200/60000]
loss: 0.215536  [  300/60000]
loss: 0.003900  [  400/60000]
loss: 4.826907  [  500/60000]
loss: 0.066984  [  600/60000]
loss: 0.561981  [  700/60000]
loss: 0.048604  [  800/60000]
loss: 0.226564  [  900/60000]
loss: 0.029603  [ 1000/60000]
loss: 0.240102  [ 1100/60000]
loss: 0.027815  [ 1200/60000]
loss: 0.003423  [ 1300/60000]
loss: 0.011732  [ 1400/60000]
loss: 0.122834  [ 1500/60000]
loss: 0.225366  [ 1600/60000]
loss: 0.006343  [ 1700/60000]
loss: 0.015859  [ 1800/60000]
loss: 0.075942  [ 1900/60000]
loss: 1.398422  [ 2000/60000]
loss: 0.001395  [ 2100/60000]
loss: 0.056500  [ 2200/60000]
loss: 0.010649  [ 2300/60000]
loss: 0.000341  [ 2400/60000]
loss: 0.016227  [ 2500/60000]
loss: 0.837045  [ 2600/60000]
loss: 0.000617  [ 2700/60000]
loss: 0.035164  [ 2800/60000]
loss: 0.175186  [ 2900/60000]
loss: 0.157502  [ 3000/60000]
loss: 0.434109  [ 3100/60000]
loss: 0.098009  [ 3200/60000]
loss: 0.021579  [ 3300/60000]
loss: 0.001283  [ 3400/60000]
loss: 0.203298  [ 3500/60000]
loss: 0.233367  [ 3600/60000]
loss: 0.007043  [ 3700/60000]
loss: 0.012018  [ 3800/60000]
loss: 0.010241  [ 3900/60000]
loss: 0.010775  [ 4000/60000]
loss: 0.012460  [ 4100/60000]
loss: 0.070642  [ 4200/60000]
loss: 0.015848  [ 4300/60000]
loss: 0.007279  [ 4400/60000]
loss: 0.188288  [ 4500/60000]
loss: 0.580903  [ 4600/60000]
loss: 0.130161  [ 4700/60000]
loss: 1.349476  [ 4800/60000]
